date/time: .11/10/2023.11:18 a.m.
Run 1

time	(N)
0.000000	3.799343E+0
0.010000	3.821419E+0
0.020000	3.849803E+0
0.030000	3.887648E+0
0.040000	3.925494E+0
0.050000	4.001184E+0
0.060000	4.064260E+0
0.070000	4.155719E+0
0.080000	4.244024E+0
0.090000	4.329176E+0
0.100000	4.408020E+0
0.110000	4.508941E+0
0.120000	4.587785E+0
0.130000	4.682398E+0
0.140000	4.780165E+0
0.150000	4.890547E+0
0.160000	5.000929E+0
0.170000	5.114465E+0
0.180000	5.237462E+0
0.190000	5.328921E+0
0.200000	5.414073E+0
0.210000	5.518147E+0
0.220000	5.619068E+0
0.230000	5.713681E+0
0.240000	5.798833E+0
0.250000	5.883985E+0
0.260000	5.975444E+0
0.270000	6.063750E+0
0.280000	6.142594E+0
0.290000	6.199362E+0
0.300000	6.262437E+0
0.310000	6.316051E+0
0.320000	6.375973E+0
0.330000	6.435894E+0
0.340000	6.467432E+0
0.350000	6.486355E+0
0.360000	6.514739E+0
0.370000	6.539969E+0
0.380000	6.539969E+0
0.390000	6.530507E+0
0.400000	6.508431E+0
0.410000	6.492662E+0
0.420000	6.476893E+0
0.430000	6.451663E+0
0.440000	6.410664E+0
0.450000	6.353896E+0
0.460000	6.309744E+0
0.470000	6.246668E+0
0.480000	6.174131E+0
0.490000	6.092133E+0
0.500000	6.013289E+0
0.510000	5.940753E+0
0.520000	5.842986E+0
0.530000	5.760988E+0
0.540000	5.666375E+0
0.550000	5.574915E+0
0.560000	5.464533E+0
0.570000	5.354151E+0
0.580000	5.243769E+0
0.590000	5.142849E+0
0.600000	5.041928E+0
0.610000	4.941008E+0
0.620000	4.833779E+0
0.630000	4.732859E+0
0.640000	4.638246E+0
0.650000	4.540479E+0
0.660000	4.445866E+0
0.670000	4.351253E+0
0.680000	4.266101E+0
0.690000	4.203025E+0
0.700000	4.111566E+0
0.710000	4.039029E+0
0.720000	3.979108E+0
0.730000	3.919186E+0
0.740000	3.862418E+0
0.750000	3.824573E+0
0.760000	3.802497E+0
0.770000	3.764651E+0
0.780000	3.748883E+0
0.790000	3.736268E+0
0.800000	3.729960E+0
0.810000	3.720499E+0
0.820000	3.726806E+0
0.830000	3.739421E+0
0.840000	3.770959E+0
0.850000	3.805650E+0
0.860000	3.846649E+0
0.870000	3.900264E+0
0.880000	3.953878E+0
0.890000	4.016953E+0
0.900000	4.080028E+0
0.910000	4.152565E+0
0.920000	4.206179E+0
0.930000	4.291331E+0
0.940000	4.392252E+0
0.950000	4.490018E+0
0.960000	4.590939E+0
0.970000	4.695013E+0
0.980000	4.786473E+0
0.990000	4.877932E+0
1.000000	4.972545E+0
1.010000	5.076620E+0
1.020000	5.177540E+0
1.030000	5.287922E+0
1.040000	5.401458E+0
1.050000	5.502379E+0
1.060000	5.619068E+0
1.070000	5.710527E+0
1.080000	5.792525E+0
1.090000	5.877677E+0
1.100000	5.956521E+0
1.110000	6.032212E+0
1.120000	6.107902E+0
1.130000	6.186747E+0
1.140000	6.252976E+0
1.150000	6.319205E+0
1.160000	6.372819E+0
1.170000	6.413818E+0
1.180000	6.442202E+0
1.190000	6.467432E+0
1.200000	6.473740E+0
1.210000	6.505277E+0
1.220000	6.514739E+0
1.230000	6.508431E+0
1.240000	6.505277E+0
1.250000	6.502124E+0
1.260000	6.480047E+0
1.270000	6.442202E+0
1.280000	6.401203E+0
1.290000	6.344435E+0
1.300000	6.303436E+0
1.310000	6.256129E+0
1.320000	6.180439E+0
1.330000	6.107902E+0
1.340000	6.025904E+0
1.350000	5.940753E+0
1.360000	5.861908E+0
1.370000	5.770449E+0
1.380000	5.678990E+0
1.390000	5.581223E+0
1.400000	5.486610E+0
1.410000	5.382535E+0
1.420000	5.272153E+0
1.430000	5.171233E+0
1.440000	5.060851E+0
1.450000	4.963084E+0
1.460000	4.855856E+0
1.470000	4.758089E+0
1.480000	4.663476E+0
1.490000	4.581478E+0
1.500000	4.486865E+0
1.510000	4.401713E+0
1.520000	4.303946E+0
1.530000	4.218794E+0
1.540000	4.143104E+0
1.550000	4.054798E+0
1.560000	3.998030E+0
1.570000	3.947570E+0
1.580000	3.900264E+0
1.590000	3.862418E+0
1.600000	3.827727E+0
1.610000	3.789882E+0
1.620000	3.761498E+0
1.630000	3.752036E+0
1.640000	3.733114E+0
1.650000	3.733114E+0
1.660000	3.736268E+0
1.670000	3.764651E+0
1.680000	3.783574E+0
1.690000	3.818266E+0
1.700000	3.849803E+0
1.710000	3.909725E+0
1.720000	3.950724E+0
1.730000	4.007492E+0
1.740000	4.067413E+0
1.750000	4.143104E+0
1.760000	4.218794E+0
1.770000	4.291331E+0
1.780000	4.367021E+0
1.790000	4.471096E+0
1.800000	4.562555E+0
1.810000	4.663476E+0
1.820000	4.770704E+0
1.830000	4.859010E+0
1.840000	4.959930E+0
1.850000	5.064005E+0
1.860000	5.158618E+0
1.870000	5.265846E+0
1.880000	5.363613E+0
1.890000	5.464533E+0
1.900000	5.571761E+0
1.910000	5.678990E+0
1.920000	5.773603E+0
1.930000	5.868216E+0
1.940000	5.943906E+0
1.950000	6.016443E+0
1.960000	6.101595E+0
1.970000	6.167824E+0
1.980000	6.224592E+0
1.990000	6.287667E+0
2.000000	6.347589E+0
2.010000	6.388588E+0
2.020000	6.442202E+0
2.030000	6.464278E+0
2.040000	6.483201E+0
2.050000	6.502124E+0
2.060000	6.505277E+0
2.070000	6.502124E+0
2.080000	6.498970E+0
2.090000	6.476893E+0
2.100000	6.467432E+0
2.110000	6.439048E+0
2.120000	6.398049E+0
2.130000	6.353896E+0
2.140000	6.297128E+0
2.150000	6.227746E+0
2.160000	6.180439E+0
2.170000	6.098441E+0
2.180000	6.025904E+0
