date/time: ,11/10/2023,11:25 a.m.
Run 1

time	(N)
0,000000	7,886628E+0
0,010000	7,792015E+0
0,020000	7,700556E+0
0,030000	7,621712E+0
0,040000	7,539714E+0
0,050000	7,457716E+0
0,060000	7,369410E+0
0,070000	7,281105E+0
0,080000	7,186492E+0
0,090000	7,104494E+0
0,100000	7,013034E+0
0,110000	6,943651E+0
0,120000	6,880576E+0
0,130000	6,826962E+0
0,140000	6,773348E+0
0,150000	6,716580E+0
0,160000	6,656658E+0
0,170000	6,596737E+0
0,180000	6,574660E+0
0,190000	6,539969E+0
0,200000	6,489508E+0
0,210000	6,470586E+0
0,220000	6,439048E+0
0,230000	6,426433E+0
0,240000	6,413818E+0
0,250000	6,410664E+0
0,260000	6,404357E+0
0,270000	6,410664E+0
0,280000	6,423279E+0
0,290000	6,435894E+0
0,300000	6,461125E+0
0,310000	6,489508E+0
0,320000	6,521046E+0
0,330000	6,558891E+0
0,340000	6,596737E+0
0,350000	6,647197E+0
0,360000	6,694503E+0
0,370000	6,763886E+0
0,380000	6,804885E+0
0,390000	6,880576E+0
0,400000	6,953113E+0
0,410000	7,013034E+0
0,420000	7,101340E+0
0,430000	7,170723E+0
0,440000	7,249567E+0
0,450000	7,337872E+0
0,460000	7,426178E+0
0,470000	7,511330E+0
0,480000	7,599635E+0
0,490000	7,681633E+0
0,500000	7,782554E+0
0,510000	7,870860E+0
0,520000	7,965473E+0
0,530000	8,053778E+0
0,540000	8,142084E+0
0,550000	8,239851E+0
0,560000	8,340771E+0
0,570000	8,438538E+0
0,580000	8,517382E+0
0,590000	8,596227E+0
0,600000	8,671917E+0
0,610000	8,744454E+0
0,620000	8,826452E+0
0,630000	8,895835E+0
0,640000	8,968371E+0
0,650000	9,037754E+0
0,660000	9,107137E+0
0,670000	9,170213E+0
0,680000	9,223827E+0
0,690000	9,271133E+0
0,700000	9,305825E+0
0,710000	9,331055E+0
0,720000	9,353131E+0
0,730000	9,400438E+0
0,740000	9,428822E+0
0,750000	9,454052E+0
0,760000	9,469821E+0
0,770000	9,466667E+0
0,780000	9,472975E+0
0,790000	9,454052E+0
0,800000	9,438283E+0
0,810000	9,441437E+0
0,820000	9,413053E+0
0,830000	9,390977E+0
0,840000	9,368900E+0
0,850000	9,331055E+0
0,860000	9,283748E+0
0,870000	9,226981E+0
0,880000	9,163905E+0
0,890000	9,107137E+0
0,900000	9,044062E+0
0,910000	8,984140E+0
0,920000	8,933680E+0
0,930000	8,857989E+0
0,940000	8,779145E+0
0,950000	8,706609E+0
0,960000	8,621457E+0
0,970000	8,536305E+0
0,980000	8,451153E+0
0,990000	8,378616E+0
1,000000	8,280850E+0
1,010000	8,202005E+0
1,020000	8,113700E+0
1,030000	8,028548E+0
1,040000	7,921320E+0
1,050000	7,836168E+0
1,060000	7,735247E+0
1,070000	7,646942E+0
1,080000	7,561790E+0
1,090000	7,470331E+0
1,100000	7,385179E+0
1,110000	7,293720E+0
1,120000	7,218029E+0
1,130000	7,136031E+0
1,140000	7,044572E+0
1,150000	6,978343E+0
1,160000	6,915267E+0
1,170000	6,842731E+0
1,180000	6,782809E+0
1,190000	6,726041E+0
1,200000	6,675581E+0
1,210000	6,618813E+0
1,220000	6,562045E+0
1,230000	6,536815E+0
1,240000	6,511585E+0
1,250000	6,473740E+0
1,260000	6,451663E+0
1,270000	6,439048E+0
1,280000	6,423279E+0
1,290000	6,420126E+0
1,300000	6,407510E+0
1,310000	6,401203E+0
1,320000	6,401203E+0
1,330000	6,416972E+0
1,340000	6,442202E+0
1,350000	6,476893E+0
1,360000	6,492662E+0
1,370000	6,530507E+0
1,380000	6,571506E+0
1,390000	6,609352E+0
1,400000	6,662966E+0
1,410000	6,713426E+0
1,420000	6,779655E+0
1,430000	6,852192E+0
1,440000	6,924729E+0
1,450000	6,978343E+0
1,460000	7,038264E+0
1,470000	7,107647E+0
1,480000	7,189645E+0
1,490000	7,262182E+0
1,500000	7,334719E+0
1,510000	7,423024E+0
1,520000	7,517637E+0
1,530000	7,612250E+0
1,540000	7,706864E+0
1,550000	7,798323E+0
1,560000	7,886628E+0
1,570000	7,965473E+0
1,580000	8,063239E+0
1,590000	8,164160E+0
1,600000	8,268235E+0
1,610000	8,362848E+0
1,620000	8,454307E+0
1,630000	8,542612E+0
1,640000	8,618303E+0
1,650000	8,687686E+0
1,660000	8,738146E+0
1,670000	8,801222E+0
1,680000	8,867451E+0
1,690000	8,946295E+0
1,700000	9,003063E+0
1,710000	9,062984E+0
1,720000	9,126060E+0
1,730000	9,176520E+0
1,740000	9,217519E+0
1,750000	9,277441E+0
1,760000	9,302671E+0
1,770000	9,340516E+0
1,780000	9,375208E+0
1,790000	9,413053E+0
1,800000	9,441437E+0
1,810000	9,441437E+0
1,820000	9,450898E+0
1,830000	9,450898E+0
1,840000	9,435129E+0
1,850000	9,431976E+0
1,860000	9,422514E+0
1,870000	9,375208E+0
1,880000	9,362593E+0
1,890000	9,324747E+0
1,900000	9,299517E+0
1,910000	9,252211E+0
1,920000	9,185982E+0
1,930000	9,126060E+0
1,940000	9,075600E+0
1,950000	9,015678E+0
1,960000	8,949449E+0
1,970000	8,873758E+0
